;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
LP60052738;0,0;0,0;5,02;6,76;0,0;0,0;39,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;47,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,75;0,0;0,0;0,0;0,0;0,0
LP60053008;0,0;0,0;99,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
LP60053026;0,0;0,0;0,0;0,0;0,0;0,0;6,470000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;93,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP60053028;0,0;0,0;0,0;0,0;0,0;0,0;6,470000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;93,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP60053087;0,0;0,0;0,1;4,99;0,0;0,0;4,0;0,0;0,0;0,32;0,91;0,0;0,0;0,0;85,75999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,92;0,0;0,0;0,0;0,0;0,0
LP60053353;0,0;0,0;0,0;0,0;0,0;0,0;20,8766;0,0;0,0;0,0;0,0;0,0;0,0;0,0;77,15650000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9669;0,0;0,0;0,0;0,0;0,0
LP60053354;0,0;0,0;0,0;0,0;0,0;0,0;20,8766;0,0;0,0;0,0;0,0;0,0;0,0;0,0;77,15650000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9669;0,0;0,0;0,0;0,0;0,0
LP60056119;0,0;0,0;21,7756;74,3452;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,8792;0,0;0,0;0,0;0,0;0,0
LP60056122;1,8996;0,0;17,2565;49,68019999999999;0,0;0,0;0,0;0,0;0,0;9,758;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,4057;0,0;0,0;0,0;0,0;0,0
LP60056139;0,0;0,0;0,0;0,0;0,0;5,87;0,0;0,0;0,0;92,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,03;0,0;0,0;0,0;0,0;0,0
LP60056140;0,0;0,0;2,22;0,0;0,0;0,0;15,84;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,150000000000006;7,54;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,25;0,0;0,0;0,0;0,0;0,0
LP60056149;0,0;0,0;0,0;3,88;0,0;0,0;35,279999999999994;0,0;0,0;0,0;0,0;0,0;0,0;0,0;45,37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,469999999999999;0,0;0,0;0,0;0,0;0,0
LP60056156;0,0;0,0;1,23;0,0;0,0;0,0;20,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;75,41;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,29;0,0;0,0;0,0;0,0;0,0
LP60056186;0,0;0,0;0,0;21,8;0,0;0,0;0,0;3,3;3,8;3,6;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,900000000000006;0,0;0,0;0,0;0,0;0,0
LP60056188;0,0;0,0;12,24;3,45;0,0;0,0;41,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,63;5,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,69;0,0;0,0;0,0;0,0;0,0
LP60056201;0,0;0,0;5,96;3,1;0,0;0,0;38,61;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,12;7,11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,1;0,0;0,0;0,0;0,0;0,0
LP60057897;0,0;0,0;22,92;45,52;0,0;0,0;5,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,62;0,0;0,0;0,0;0,0;0,0
LP60057901;0,0;0,0;1,38;0,0;0,0;0,0;11,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;82,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,21;0,0;0,0;0,0;0,0;0,0
LP60057902;0,0;0,0;1,38;0,0;0,0;0,0;11,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;82,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,21;0,0;0,0;0,0;0,0;0,0
LP60057903;0,0;0,0;1,38;0,0;0,0;0,0;11,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;82,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,21;0,0;0,0;0,0;0,0;0,0
LP60059015;0,0;0,0;21,51;61,76;0,0;0,0;0,0;0,0;0,0;9,34;0,0;1,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,67;0,0;0,0;0,0;0,0;0,0
LP60059841;0,0;0,0;0,0;21,8;0,0;0,0;0,0;3,3;3,8;3,6;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,900000000000006;0,0;0,0;0,0;0,0;0,0
LP60059875;0,0;0,0;0,0;0,0;0,0;0,0;84,33;2,1;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,17;0,0;0,0;0,0;0,0;0,0
LP60059908;0,0;0,0;0,0;0,0;0,0;0,0;5,86;0,96;0,0;0,64;0,0;0,0;0,0;0,0;89,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,13;0,0;3,34;0,0;0,0;0,0;0,0;0,0
LP60060103;0,0;0,0;0,0;0,0;0,0;0,0;84,33;2,1;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,17;0,0;0,0;0,0;0,0;0,0
LP60060105;0,0;0,0;0,0;0,0;0,0;0,0;84,33;2,1;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;11,17;0,0;0,0;0,0;0,0;0,0
LP60062055;0,0;0,0;0,0;21,8;0,0;0,0;0,0;3,3;3,8;3,6;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,900000000000006;0,0;0,0;0,0;0,0;0,0
LP60062413;0,0;0,0;0,0;0,0;0,0;0,0;11,799999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;78,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,78;0,0;0,0;0,0;0,0;0,0
LP60063219;0,0;0,0;20,77;75,9;1,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,11;0,0;0,0;0,0;0,0;0,0
LP60063769;0,0;0,0;0,0;0,0;0,0;0,0;12,29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;75,74;4,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,93;0,0;0,0;0,0;0,0;0,0
LP60063864;0,0;0,0;23,1;64,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,4;0,0;0,0;0,0;0,0;0,0
LP60065076;0,0;0,0;0,0;4,7;0,0;0,0;42,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;49,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,0;0,0;0,0;0,0;0,0
LP60065077;0,0;0,0;0,0;4,7;0,0;0,0;42,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;49,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,0;0,0;0,0;0,0;0,0
LP60065078;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0
LP60065079;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0
LP60065503;0,0;0,0122;0,0187;0,0238;0,0;0,0;0,0;0,0;0,0184;0,0016;0,0;0,0;0,0173;0,0;99,0996;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8084;0,0;0,0;0,0;0,0;0,0
LP60065606;0,0;0,0;0,0;0,0;0,0;0,0;2,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;96,33;0,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,96;0,0;0,0;0,0;0,0;0,0
LP60065613;0,0;0,0;0,08;0,0;0,0;0,0;1,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;95,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,88;0,0;0,0;0,0;0,0;0,0
LP60065614;0,0;0,0;1,78;0,44;0,0;0,0;18,39;0,0;0,0;0,0;0,0;0,0;0,0;0,0;78,36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,03;0,0;0,0;0,0;0,0;0,0
LP60065619;0,0;0,0;2,14;0,0;0,0;0,0;6,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;90,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0
LP60065746;0,0;0,0;11,59;0,0;0,0;0,0;16,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;42,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;29,36;0,0;0,0;0,0;0,0;0,0
LP60065989;0,0;0,0;0,0;96,65;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,64;0,0;0,0;0,0;0,0;0,0
LP60065990;0,0;0,0;0,0;96,65;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,64;0,0;0,0;0,0;0,0;0,0
LP60066416;0,0;0,0;0,33;0,0;0,0;0,0;2,94;0,0;0,0;0,0;0,0;0,0;0,0;0,0;94,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,54;0,0;0,0;0,0;0,0;0,0
LP60066417;0,0;0,0;0,33;0,0;0,0;0,0;2,94;0,0;0,0;0,0;0,0;0,0;0,0;0,0;94,19;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,54;0,0;0,0;0,0;0,0;0,0
LP60069422;0,0;0,0;0,0;14,2966;0,0;0,0;34,2966;4,2586;0,0;4,6388;0,0;0,2281;0,0;0,0;37,56650000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,7148;0,0;0,0;0,0;0,0;0,0
LP60069424;0,0;0,0;0,0;14,2966;0,0;0,0;34,2966;4,2586;0,0;4,6388;0,0;0,2281;0,0;0,0;37,56650000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,7148;0,0;0,0;0,0;0,0;0,0
LP60070106;3,34;0,0;18,32;57,959999999999994;0,0;0,0;0,0;1,81;0,0;8,09;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,48;0,0;0,0;0,0;0,0;0,0
LP60070120;0,0;0,0;34,14;60,160000000000004;0,0;0,0;2,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,62;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;0,0;0,0;0,0
LP60070129;0,0;0,0;0,0;0,0;0,0;0,0;6,470000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;93,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP60070139;0,0;0,0;0,0;0,0;0,0;0,0;22,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;63,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,59;0,0;0,0;0,0;0,0;0,0
LP60070141;5,67;0,0;0,0;16,8;0,0;0,0;0,0;17,69;0,0;18,67;3,61;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,56;0,0;0,0;0,0;0,0;0,0
LP60070144;0,0;0,0;0,0;0,0;0,0;0,0;23,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,60000000000001;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2;0,0;0,0;0,0;0,0;0,0
LP60070158;0,0;0,0;16,2645;80,4148;0,0;0,0;0,8775;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4432;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP60070160;0,0;0,0;16,2645;80,4148;0,0;0,0;0,8775;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4432;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP60071849;0,0;0,0;20,009999999999998;39,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,0;0,0;0,0;9,62;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,7;0,0;0,0;0,0;0,0;0,0
LP60071893;0,0;0,0;0,0;0,0;0,0;0,0;97,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,53;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0
LP60071938;0,0;0,0;0,0;0,0;0,0;0,0;17,69;0,0;0,0;4,28;0,0;0,0;0,0;0,0;55,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,17;0,0;0,0;0,0;0,0;0,0
LP60071956;0,0;0,0;0,0;0,0;0,0;0,0;95,55999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,4399999999999995;0,0;0,0;0,0;0,0;0,0
LP60071962;0,0;0,0;2,68;4,01;0,0;0,0;0,0;0,0;0,0;3,85;0,0;0,0;0,0;0,0;46,68;0,0;1,25;0,0;0,0;0,0;0,0;3,96;9,54;11,47;0,0;0,0;0,0;0,0;11,23;5,33;0,0;0,0;0,0;0,0;0,0
LP60072039;0,0;0,0;1,51;0,57;0,0;0,0;12,959999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;82,08999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,87;0,0;0,0;0,0;0,0;0,0
LP60072102;4,0;0,0;3,6;3,9;0,0;0,0;33,0;7,3;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36,2;0,0;0,0;0,0;0,0;0,0
LP60072132;0,0;0,0;0,0;0,0;0,0;0,0;13,299999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;83,43;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,27;0,0;0,0;0,0;0,0;0,0
LP60072173;0,0;0,0;1,23;0,0;0,0;0,0;20,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;75,41;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,29;0,0;0,0;0,0;0,0;0,0
LP60072195;0,0;0,0;6,15;4,34;0,0;0,0;3,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;82,81;0,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2800000000000002;0,0;0,0;0,0;0,0;0,0
LP60072419;0,0;0,0;0,0;0,0;0,0;0,0;94,65;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,35;0,0;0,0;0,0;0,0;0,0
LP60073181;0,0;0,0;1,62;1,08;0,0;0,0;6,640000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;84,00999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,65;0,0;0,0;0,0;0,0;0,0
LP60073200;0,0;0,0;0,0;0,0;0,0;0,0;98,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,12;0,0;0,0;0,0;0,0;0,0
LP60073425;0,0;0,0;4,33;5,54;0,0;0,0;17,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;69,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,29;0,0;0,0;0,0;0,0;0,0
LP60074154;0,0;0,0;0,0;0,0;0,0;0,0;92,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,1;0,0;0,0;0,0;0,0;0,0
LP60074155;0,0;0,0;99,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
LP60074157;0,0;0,0;0,0;0,0;0,0;3,0523;1,4615;0,0;0,0;90,4951;0,0;0,0;0,0;0,0;4,9911;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP60074158;0,0;0,0;9,3;0,0;0,0;0,0;26,82;0,0;0,0;0,0;0,0;0,0;0,0;0,0;46,169999999999995;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,71;0,0;0,0;0,0;0,0;0,0
LP60074707;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;63,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36,97;0,0;0,0;0,0;0,0;0,0
LP60074709;0,0;0,0;3,74;0,0;0,0;0,0;24,589999999999996;0,0;0,0;0,0;0,0;0,0;0,0;0,0;33,94;5,16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;32,57;0,0;0,0;0,0;0,0;0,0
LP60075231;0,0;0,0;0,0;0,0;0,0;0,0;99,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
LP60075626;0,0;0,0;0,0;0,0;0,0;0,0;11,799999999999999;0,0;0,0;0,0;0,0;0,0;0,0;0,0;78,42;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,78;0,0;0,0;0,0;0,0;0,0
LP60075632;23,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;69,0;0,0;0,0;0,0;0,0;0,0
LP60075641;0,0;0,0;21,7756;74,3452;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,8792;0,0;0,0;0,0;0,0;0,0
LP60076348;0,0;0,0;0,0;0,0;0,0;0,0;10,5679;0,0;0,0;0,0;0,0;0,0;0,0;0,0;89,4321;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
LP60076350;2,8;0,0;0,0;10,5;0,0;3,9;0,0;6,9;0,0;9,3;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,7;0,0;0,0;0,0;0,0;0,0
LP60076351;2,8;0,0;0,0;10,5;0,0;3,9;0,0;6,9;0,0;9,3;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,7;0,0;0,0;0,0;0,0;0,0
LP60077008;0,0;0,0;0,0;24,76;0,0;0,0;0,0;0,0;0,0;59,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,54;0,0;0,0;0,0;0,0;0,0
LP60077032;0,0;0,0;0,0;0,0;0,0;0,0;5,4799999999999995;0,0;1,33;0,0;0,0;0,0;0,0;0,0;88,74;1,97;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,48;0,0;0,0;0,0;0,0;0,0
LP60077040;0,0;0,0;0,0;0,0;0,0;0,0;5,4799999999999995;0,0;1,33;0,0;0,0;0,0;0,0;0,0;88,74;1,97;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,48;0,0;0,0;0,0;0,0;0,0
LP60077048;0,0;0,0;0,0;0,0;0,0;0,0;6,3999999999999995;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,89;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,63;0,0;0,0;0,0;0,0;0,0
LP60077052;0,0;0,0;0,0;0,0;0,0;0,0;6,3999999999999995;0,0;0,0;0,0;0,0;0,0;0,0;0,0;92,89;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,63;0,0;0,0;0,0;0,0;0,0
LP60077120;0,0;0,0;0,0;1,54;0,0;0,0;10,080000000000002;0,0;0,0;3,4299999999999997;0,0;0,0;0,0;0,0;65,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,51;0,0;0,0;0,0;0,0;0,0
LP60077232;2,8;0,0;0,0;10,5;0,0;3,9;0,0;6,9;0,0;9,3;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,7;0,0;0,0;0,0;0,0;0,0
LP60077233;2,8;0,0;0,0;10,5;0,0;3,9;0,0;6,9;0,0;9,3;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;61,7;0,0;0,0;0,0;0,0;0,0
LP60077234;0,0;0,0;0,0;0,0;0,0;0,0;94,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,22;0,0;0,0;0,0;0,0;0,0
LP60077604;0,0;0,0;0,0;1,54;0,0;0,0;10,080000000000002;0,0;0,0;3,4299999999999997;0,0;0,0;0,0;0,0;65,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,51;0,0;0,0;0,0;0,0;0,0
