;Africa Eme.;Africa Front.;Asia Des.;Asia Eme.;Asia Front.;Chile;Europa Des.;Europa Eme.;Europa Front.;Latam Eme.;Latam Front.;M. Oriente Eme.;M. Oriente Front.;N/A;Norteamerica;OceanÃ­a;apac_(ex_japan)_fi;australia_&_new_zealand;azerbaijan;cash/equiv;cash_&_forwards;emerging_market_fi;europe_eq;europe_fi;faroe_islands;honduras;mexice;middle_east_&_africa;north_america_fi;otros;peopleã¢â¬â¢s_republic_of_china;technology;tãâ¼rkiye;uzbekistan;world
ARKK.K;0,0;0,0;0,51;1,66;0,0;0,0;5,71;0,0;0,0;0,0;0,0;0,0;0,0;0,0;91,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,62;0,0;0,0;0,0;0,0;0,0
ARKQ.K;0,0;0,0;2,5297;6,1694;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;91,3009;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ARKW.K;0,0;0,0;0,51;3,2199999999999998;0,0;0,0;2,7300000000000004;0,0;0,0;0,0;0,99;0,0;0,0;0,0;85,10000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,45;0,0;0,0;0,0;0,0;0,0
ASHR.K;0,0;0,0;0,0;99,56;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,11;0,0;0,0;0,0;0,0;0,0
ASHS.K;0,0;0,0;0,0;99,52;0,0;0,0;0,37;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,04;0,0;0,0;0,0;0,0;0,0
AWESGW.S;0,0;0,0;5,63;5,3100000000000005;0,0;0,0;10,270000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;63,21;1,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,9;0,0;0,0;0,0;0,0;0,0
AWSRIW.S;0,0;0,0;5,45;8,0;0,0;0,0;10,93;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,98;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,64;0,0;0,0;0,0;0,0;0,0
BATG.L;0,0;0,0;32,2;13,29;0,0;0,0;10,96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,150000000000002;11,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,62;0,0;0,0;0,0;0,0;0,0
BBH.O;0,0;0,0;0,0;0,0;0,0;0,0;15,870000000000001;0,0;0,0;0,0;0,0;0,0;0,0;0,0;84,12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01;0,0;0,0;0,0;0,0;0,0
BBUS.K;0,0;0,0;0,09;0,0;0,0;0,0;2,3099999999999996;0,0;0,0;0,0;0,18;0,0;0,0;0,0;97,23;0,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,14;0,0;0,0;0,0;0,0;0,0
